"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"80","Blake Corum (LAR)","58","207","3.6","12","0","0","7","8","58","8.3","0","0","15","33.5","2.2","28.5%"
"81","Hassan Haskins (LAC)","34","89","2.6","12","0","2","3","3","49","16.3","1","1","15","32.8","2.2","0.6%"
"82","Kimani Vidal (LAC)","43","155","3.6","19","0","0","5","9","62","12.4","1","0","10","32.7","3.3","4.0%"
"83","D'Onta Foreman (FA)","71","232","3.3","25","1","0","6","8","54","9.0","0","1","10","32.6","3.3","2.7%"
"84","Chris Rodriguez Jr. (WAS)","35","173","4.9","25","1","2","1","1","12","12.0","0","0","8","31.5","3.9","2.4%"
"85","Khalil Herbert (IND)","36","130","3.6","14","0","1","10","11","25","2.5","0","0","12","31.5","2.6","5.4%"
"86","Patrick Taylor Jr. (SF)","39","183","4.7","29","1","1","3","11","25","8.3","0","0","9","29.8","3.3","0.8%"
"87","Zamir White (LV)","65","183","2.8","17","0","1","6","8","30","5.0","0","2","8","29.3","3.7","11.0%"
"88","Michael Burton (DEN)","7","8","1.1","3","0","1","10","10","65","6.5","1","0","17","29.3","1.7","0.1%"
"89","Kendre Miller (NO)","39","148","3.8","17","0","1","5","8","33","6.6","0","0","7","29.1","4.2","19.4%"
"90","JaMycal Hasty (FA)","20","69","3.5","15","0","0","10","12","59","5.9","1","0","12","28.8","2.4","1.1%"
"91","Ty Chandler (MIN)","56","182","3.3","25","1","0","6","6","42","7.0","0","0","15","28.4","1.9","4.8%"
"92","Sincere McCormick (LV)","39","183","4.7","29","1","0","6","7","29","4.8","0","0","4","27.2","6.8","2.1%"
"93","Hunter Luepke (DAL)","12","38","3.2","10","0","0","12","16","111","9.3","0","0","16","26.9","1.7","0.6%"
"94","Jaylen Wright (MIA)","68","249","3.7","20","1","0","3","6","8","2.7","0","1","15","26.7","1.8","34.8%"
"95","Alec Ingold (MIA)","10","17","1.7","6","0","1","11","12","96","8.7","0","1","15","26.3","1.8","0.7%"
"96","Jordan Mims (FA)","20","70","3.5","9","0","0","12","18","71","5.9","0","0","8","26.1","3.3","0.0%"
"97","Carson Steele (KC)","56","183","3.3","9","0","0","7","11","26","3.7","0","2","16","23.9","1.5","0.7%"
"98","Kenny McIntosh (SEA)","31","172","5.5","25","1","0","3","4","22","7.3","0","0","12","22.4","1.9","1.0%"
"99","DeeJay Dallas (ARI)","9","49","5.4","22","1","0","3","3","11","3.7","1","0","16","21.0","1.3","0.1%"
"100","Craig Reynolds (DET)","31","139","4.5","19","0","0","3","5","40","13.3","0","0","14","20.9","1.5","1.1%"
"101","Ronnie Rivers (LAR)","22","99","4.5","12","0","0","5","6","34","6.8","0","0","7","18.3","2.6","0.6%"
"102","Eric Gray (NYG)","14","31","2.2","6","0","0","10","11","82","8.2","0","2","16","17.3","1.1","0.6%"
"103","Patrick Ricard (BAL)","0","0","0","0","0","0","3","5","22","7.3","1","0","17","17.2","1.0","0.8%"
"104","Will Shipley (PHI)","30","82","2.7","9","0","0","4","4","35","8.8","0","0","13","15.7","1.2","16.8%"
"105","C.J. Ham (MIN)","2","10","5.0","8","0","1","5","6","35","7.0","0","1","17","13.5","0.8","0.6%"
"106","Julius Chestnut (TEN)","22","102","4.6","12","0","0","2","3","11","5.5","0","0","14","13.3","1.0","1.1%"
"107","Deuce Vaughn (DAL)","17","70","4.1","12","0","0","3","5","18","6.0","0","0","6","11.8","2.0","1.6%"
"108","Tony Jones Jr. (FA)","4","55","13.8","46","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"109","Jeff Wilson Jr. (FA)","16","57","3.6","14","0","0","3","3","19","6.3","0","0","7","10.6","1.5","1.0%"
