"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"110","Zach Davidson (BUF)","1","2","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","1.0%"
"111","Jody Fortson Jr. (FA)","1","3","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"112","Ross Dwelley (SF)","1","1","5","5.0","5","0","0","0","0","0","0","4","1.5","0.4","0.0%"
"113","Marcedes Lewis (FA)","1","2","2","2.0","2","0","0","0","0","0","0","6","1.2","0.2","0.0%"
"114","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","9","1.2","0.1","0.0%"
"115","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"117","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"118","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"119","Parker Hesse (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"120","Feleipe Franks (ATL)","1","3","12","12.0","12","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"121","Stephen Sullivan (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Giovanni Ricci (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","McCallan Castles (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"127","Tyler Warren (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.3%"
"128","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Neal Johnson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"132","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
