"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"160","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","3","13.9","4.6","0.0%"
"161","River Cracraft (FA)","7","9","66","9.4","16","0","0","0","0","0","0","5","13.6","2.7","0.0%"
"162","Chris Conley (FA)","6","12","76","12.7","23","2","0","0","0","0","0","9","13.6","1.5","0.0%"
"163","Michael Woods II (CLE)","7","17","65","9.3","16","0","0","0","0","0","0","5","13.5","2.7","0.1%"
"164","DJ Chark Jr. (FA)","4","10","31","7.8","12","0","1","0","0","0","0","4","13.1","3.3","1.6%"
"165","Tay Martin (FA)","1","2","49","49.0","49","1","1","0","0","0","0","1","11.9","11.9","0.0%"
"166","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","10","11.9","1.2","0.1%"
"167","Scotty Miller (PIT)","5","9","69","13.8","21","2","0","0","0","0","0","13","11.9","0.9","0.1%"
"168","Laviska Shenault Jr. (BUF)","5","5","36","7.2","18","0","0","1","1","0","2","10","10.7","1.1","0.1%"
"169","Jacob Cowing (SF)","4","6","80","20.0","41","1","0","1","7","0","1","15","10.7","0.7","1.3%"
"170","Britain Covey (LAR)","7","8","34","4.9","11","0","0","0","0","0","0","5","10.4","2.1","0.0%"
"171","Kristian Wilkerson (BUF)","2","3","18","9.0","9","0","1","0","0","0","0","1","9.8","9.8","1.0%"
"172","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","7","9.1","1.3","1.2%"
"173","Tyquan Thornton (KC)","4","8","47","11.8","17","0","0","0","0","0","0","4","8.7","2.2","0.0%"
"174","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","7.5","1.5","2.2%"
"175","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","7.4","1.2","0.0%"
"176","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","5","7.1","1.4","0.1%"
"177","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","8","7.1","0.9","0.1%"
"178","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","6.8","1.4","0.6%"
"179","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","5","6.7","1.3","0.0%"
"180","Dan Chisena (CAR)","3","4","37","12.3","23","1","0","0","0","0","0","6","6.7","1.1","0.0%"
"181","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","6.4","1.6","0.0%"
"182","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","6.2","0.4","0.1%"
"183","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","6.1","1.2","0.0%"
"184","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","6","6.0","1.0","1.4%"
"185","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","15","6.0","0.4","0.1%"
"186","David Bell (CLE)","3","3","27","9.0","12","0","0","0","0","0","0","1","5.7","5.7","0.0%"
"187","Charlie Jones (CIN)","1","1","5","5.0","5","0","0","0","0","0","1","8","5.5","0.7","0.1%"
"188","Malachi Corley (NYJ)","3","6","16","5.3","10","0","0","2","26","0","1","7","5.2","0.7","4.7%"
"189","Jamari Thrash (CLE)","3","7","22","7.3","11","0","0","0","0","0","0","9","5.2","0.6","0.7%"
"190","Trenton Irwin (JAC)","3","10","15","5.0","6","0","0","0","0","0","0","6","4.5","0.8","0.0%"
"191","Ronnie Bell (DET)","2","6","22","11.0","12","0","0","0","0","0","0","4","4.2","1.1","0.0%"
"192","Austin Trammell (JAC)","2","3","40","20.0","22","1","0","0","0","0","1","1","4.0","4.0","0.1%"
"193","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","6","3.7","0.6","0.0%"
"194","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","8","3.3","0.4","1.0%"
"195","Isaiah Hodgins (SF)","2","2","12","6.0","7","0","0","0","0","0","0","2","3.2","1.6","0.0%"
"196","Grant DuBose (FA)","2","4","11","5.5","13","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"197","James Proche II (TEN)","3","3","21","7.0","14","0","0","0","0","0","1","9","3.1","0.3","0.0%"
"198","Chris Blair (ATL)","1","2","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"199","Isaiah Williams (CIN)","2","3","6","3.0","4","0","0","0","0","0","0","8","2.6","0.3","0.1%"
"200","Anthony Miller (BAL)","1","1","16","16.0","16","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"201","Casey Washington (ATL)","1","2","14","14.0","14","0","0","0","0","0","0","2","2.4","1.2","0.0%"
"202","Javon Baker (NE)","1","4","12","12.0","12","0","0","0","0","0","0","10","2.2","0.2","1.8%"
"203","Trent Taylor (SF)","1","1","11","11.0","11","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"204","Brandon Johnson (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","3","1.9","0.6","1.0%"
"205","Kendric Pryor (CIN)","1","1","9","9.0","9","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"206","Ramel Keyton (FA)","1","3","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"207","Jaelon Darden (FA)","1","1","6","6.0","6","0","0","0","0","0","0","11","1.6","0.1","0.0%"
"208","John Ross (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"209","Collin Johnson (LV)","1","2","6","6.0","6","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"210","Tyler Scott (CHI)","1","1","5","5.0","5","0","0","0","0","0","0","11","1.5","0.1","0.9%"
"211","Robbie Chosen (FA)","1","4","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"212","Kameron Johnson (TB)","0","1","0","0","0","0","0","2","11","0","0","5","1.1","0.2","0.0%"
"213","Velus Jones Jr. (NO)","1","1","8","8.0","8","0","0","3","11","0","1","2","0.9","0.5","0.0%"
"214","Brycen Tremayne (CAR)","1","1","-2","-2.0","0","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"215","Arian Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"216","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"217","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.2%"
"218","Mario Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Cornelius Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"222","Daniel Jackson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Makai Polk (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"225","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Quez Watkins (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"229","Justyn Ross (KC)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"230","Dez Fitzpatrick (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Seth Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"232","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Tom Kennedy (DET)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"235","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Deonte Harty (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"237","Jalen Guyton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Tarik Black (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Trishton Jackson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","Donovan Peoples-Jones (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Terique Owens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Jaelen Gill (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Jaylen Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Julian Hicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Xavier Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Drake Stoops (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Louis Rees-Zammit (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"251","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","John Jackson III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Cole Burgess (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Qadir Ismail (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Elic Ayomanor (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.2%"
"256","Matthew Golden (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.7%"
"257","Isaiah Neyor (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Travis Hunter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.4%"
"259","Tory Horton (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.0%"
"260","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Dorian Singer (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"263","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"265","Brenden Rice (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"266","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"268","Andrew Armstrong (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Ajou Ajou (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"270","Tre Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.1%"
"271","Elijhah Badger (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"272","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","13.9%"
"273","Luther Burden III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.5%"
"274","Xavier Restrepo (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.9%"
"275","Silas Bolden (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Mac Dalena (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Jaylen Jones (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"278","Landon Parker (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Coleman Owen (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Tyler Kahmann (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Blayne Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Quincy Skinner Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Bryson Green (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Dalen Cambre (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Jordan Bly (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Eli Pancol (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Cam Camper (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Luke Grimm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Courtney Jackson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Jakobie Keeney-James (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
