"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Brenton Strange","JAC","TE19","0.0","0.0","0.0","55.2","550.4","3.3","0.5","129.0"
"Cade Otton","TB","TE20","0.0","0.0","0.0","52.0","530.1","4.0","0.5","128.2"
"Tyler Lockett","TEN","WR64","0.0","0.0","0.0","49.6","577.4","3.5","0.1","127.9"
"Romeo Doubs","GB","WR65","0.0","0.5","0.0","45.2","575.1","4.3","0.5","127.4"
"Jerome Ford","CLE","RB42","126.1","527.8","3.0","29.2","200.5","1.0","0.8","124.2"
"Luther Burden III","CHI","WR66","3.6","27.2","0.4","46.0","558.6","3.3","1.1","124.1"
"Jonnu Smith","PIT","TE21","0.0","1.5","0.0","50.4","522.8","3.8","0.9","123.7"
"Darren Waller","MIA","TE22","0.0","0.0","0.0","49.5","545.7","3.2","0.1","122.9"
"Joshua Palmer","BUF","WR67","0.0","0.5","0.0","42.0","589.0","3.5","0.1","122.0"
"Chig Okonkwo","TEN","TE23","0.0","3.0","0.0","52.8","527.9","2.9","0.8","121.6"
"Mike Gesicki","CIN","TE24","0.0","0.0","0.0","51.0","502.7","3.4","0.4","120.9"
"Brandon Aiyuk","SF","WR68","1.1","4.8","0.0","40.0","611.9","3.2","0.5","120.3"
"Michael Wilson","ARI","WR69","1.9","8.9","0.1","43.8","525.2","3.9","0.5","120.2"
"Cam Skattebo","NYG","RB43","120.4","526.7","3.4","24.2","185.8","0.9","1.2","118.9"
"Dalton Schultz","HOU","TE25","0.0","0.0","0.0","49.7","509.4","3.1","0.4","118.6"
"Najee Harris","LAC","RB44","129.9","531.6","4.4","20.8","150.3","0.8","0.8","118.4"
"Isaiah Likely","BAL","TE26","0.0","0.0","0.0","41.4","491.4","4.8","0.7","118.1"
"Pat Freiermuth","PIT","TE27","0.0","0.0","0.0","49.9","480.5","3.3","0.9","116.1"
"Tank Bigsby","JAC","RB45","160.7","654.4","5.2","12.0","87.0","0.2","1.2","116.1"
"Juwan Johnson","NO","TE28","0.0","0.0","0.0","47.5","486.5","3.2","0.2","114.9"
"Tre' Harris","LAC","WR70","0.7","3.8","0.0","40.8","544.3","3.4","0.7","114.7"
"Calvin Austin III","PIT","WR71","2.3","11.8","0.1","39.6","529.0","3.4","0.5","113.3"
"Ray-Ray McCloud III","ATL","WR72","7.5","52.8","0.2","44.4","486.5","2.6","1.2","112.3"
"Mason Taylor","NYJ","TE29","0.0","0.0","0.0","48.1","485.0","2.7","0.8","111.4"
"Tyler Higbee","LAR","TE30","0.0","0.0","0.0","45.3","424.8","3.7","0.1","109.7"
"Jack Bech","LV","WR73","1.0","4.3","0.0","41.7","518.5","2.8","0.7","109.3"
"Dylan Sampson","CLE","RB46","120.8","480.2","2.4","22.8","178.3","0.9","0.8","107.1"
"Theo Johnson","NYG","TE31","0.0","0.0","0.0","43.1","472.1","2.7","0.1","106.3"
"Dyami Brown","JAC","WR74","0.7","6.8","0.0","39.2","504.4","2.8","0.5","106.3"
"Alec Pierce","IND","WR75","0.0","0.0","0.0","31.3","539.3","3.5","0.1","105.8"
"Quentin Johnston","LAC","WR76","1.7","7.2","0.0","34.9","458.0","4.1","0.4","105.6"
"Darius Slayton","NYG","WR77","1.4","6.4","0.0","35.6","534.0","2.5","0.2","104.5"
"Jaydon Blue","DAL","RB47","108.6","475.2","2.9","20.4","158.5","0.8","0.8","104.4"
"Tutu Atwell","LAR","WR78","4.3","20.2","0.1","39.1","497.2","2.2","0.1","104.3"
"Trey Benson","ARI","RB48","127.3","567.7","3.7","13.7","105.2","0.4","0.9","104.2"
"Josh Reynolds","NYJ","WR79","0.0","0.0","0.0","36.5","479.3","3.0","0.1","102.0"
"Nick Chubb","HOU","RB49","127.9","522.4","4.6","10.6","80.0","0.4","0.5","99.8"
"Jaylen Wright","MIA","RB50","132.3","541.4","3.4","14.1","98.2","0.6","1.5","98.9"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","423.5","2.8","0.4","98.5"
"Kyle Williams","NE","WR80","2.1","13.3","0.0","35.5","454.4","2.7","0.4","97.6"
"Tyler Allgeier","ATL","RB51","119.8","549.3","3.3","12.6","92.5","0.3","0.8","96.9"
"DeAndre Hopkins","BAL","WR81","0.0","0.5","0.0","32.0","412.7","3.9","0.1","96.6"
"Nick Westbrook-Ikhine","MIA","WR82","0.0","1.3","0.0","31.4","427.4","3.7","0.1","96.1"
"Jalen Tolbert","DAL","WR83","0.0","0.0","0.0","34.6","404.1","3.5","0.1","96.0"
"Ray Davis","BUF","RB52","109.2","467.3","3.5","12.4","105.6","1.0","0.8","95.1"
"Rico Dowdle","CAR","RB53","85.2","390.2","2.2","22.2","151.7","1.1","0.8","94.4"
"Braelon Allen","NYJ","RB54","111.5","425.2","3.0","16.4","122.0","0.8","0.4","92.9"
"Brandin Cooks","NO","WR84","1.7","3.8","0.0","35.4","402.9","2.7","0.1","92.2"
"Will Dissly","LAC","TE33","0.0","0.0","0.0","38.6","378.0","2.5","0.1","91.6"
"Andrei Iosivas","CIN","WR85","0.0","0.0","0.0","31.4","380.5","3.7","0.1","91.2"
"Diontae Johnson","CLE","WR86","0.0","2.3","0.0","34.9","429.1","2.2","0.6","90.3"
"Noah Fant","CIN","TE34","0.0","0.0","0.0","37.2","380.9","2.4","0.1","89.9"
"Jordan Whittington","LAR","WR87","1.1","13.9","0.0","34.1","397.7","2.4","0.1","89.8"
"Ja'Tavion Sanders","CAR","TE35","0.0","0.0","0.0","38.5","389.3","2.1","0.1","89.6"
"Tre Tucker","LV","WR88","5.6","31.5","0.3","30.9","397.0","2.2","0.1","89.0"
"Bhayshul Tuten","JAC","RB55","89.2","389.2","2.5","17.3","136.9","0.8","0.8","88.4"
"Jalen Nailor","MIN","WR89","1.8","4.1","0.0","29.2","382.1","3.5","0.4","88.2"
"Kareem Hunt","KC","RB56","81.2","310.5","3.3","19.4","134.3","0.8","0.1","88.1"
"Tory Horton","SEA","WR90","1.0","8.7","0.0","33.4","424.9","2.1","0.7","87.6"
"Jalen Coker","CAR","WR91","0.0","2.3","0.0","31.8","416.6","2.0","0.1","85.6"
"Woody Marks","HOU","RB57","73.8","271.4","1.8","23.9","173.6","1.1","0.1","85.5"
"Roschon Johnson","CHI","RB58","86.2","316.9","4.5","14.7","98.5","0.4","0.1","85.4"
"Troy Franklin","DEN","WR92","1.1","6.1","0.0","29.9","372.7","2.8","0.1","84.5"
"Justice Hill","BAL","RB59","41.8","184.9","1.1","27.3","222.0","1.7","0.4","83.9"
"Noah Brown","WAS","WR93","0.0","0.0","0.0","31.8","406.9","1.9","0.1","83.6"
"MarShawn Lloyd","GB","RB60","105.6","381.3","2.9","13.5","108.4","0.7","0.8","82.7"
"Kayshon Boutte","NE","WR94","0.0","0.0","0.0","28.3","379.7","2.4","0.1","80.4"
"Dontayvion Wicks","GB","WR95","0.0","1.3","0.0","27.4","346.2","3.0","0.0","80.2"
"Tyler Conklin","LAC","TE36","0.0","0.0","0.0","33.7","325.8","2.3","0.0","79.9"
"Pat Bryant","DEN","WR96","0.0","0.0","0.0","29.1","351.4","2.6","0.1","79.6"
"Adonai Mitchell","IND","WR97","2.9","9.5","0.1","28.4","372.7","2.2","0.4","79.2"
"Marquez Valdes-Scantling","SEA","WR98","2.7","10.4","0.1","23.9","394.1","2.3","0.0","78.7"
"Dont'e Thornton Jr.","LV","WR99","0.0","2.0","0.0","28.0","369.3","2.1","0.1","77.8"
"AJ Barner","SEA","TE37","0.0","0.0","0.0","32.7","305.0","2.4","0.1","77.5"
"Raheem Mostert","LV","RB61","77.2","289.8","2.6","17.6","129.3","0.5","0.8","77.0"
"Miles Sanders","DAL","RB62","93.4","403.2","2.3","12.0","77.2","0.6","0.5","76.4"
"Elic Ayomanor","TEN","WR100","0.0","7.5","0.0","28.6","336.3","2.2","0.1","76.1"
"Noah Gray","KC","TE38","0.0","0.5","0.0","29.6","301.4","2.7","0.0","75.9"
"K.J. Osborn","WAS","WR101","0.0","0.0","0.0","28.4","313.5","2.5","0.0","74.6"
"Curtis Samuel","BUF","WR102","6.6","29.3","0.1","27.0","272.4","2.5","0.1","72.5"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","30.2","291.0","2.3","0.4","72.2"
"Christian Watson","GB","WR103","4.3","17.0","0.0","19.9","366.7","2.3","0.4","71.6"
"Greg Dortch","ARI","WR104","4.8","30.6","0.1","28.0","278.7","2.1","0.4","71.3"
"Kendre Miller","NO","RB63","91.4","353.5","3.1","9.7","72.3","0.2","0.4","71.1"
"Brian Robinson Jr.","SF","RB64","86.5","356.8","3.1","8.4","70.3","0.5","1.1","70.0"
"Allen Lazard","NYJ","WR105","0.0","0.0","0.0","24.6","318.8","2.2","0.1","69.7"
"Anthony Miller","BAL","WR106","0.0","0.0","0.0","25.4","277.9","2.6","0.0","68.6"
"Malik Washington","MIA","WR107","2.0","13.8","0.1","27.5","288.9","1.8","0.6","67.9"
"Austin Hooper","NE","TE40","0.0","0.0","0.0","28.7","286.6","1.8","0.4","67.4"
"Ty Johnson","BUF","RB65","44.9","205.3","0.9","15.2","165.4","1.4","0.1","66.4"
"Blake Corum","LAR","RB66","84.2","312.2","2.1","12.0","87.4","0.3","0.4","66.0"
"Van Jefferson","TEN","WR108","0.0","0.0","0.0","23.5","300.4","1.9","0.1","64.5"
"Roman Wilson","PIT","WR109","0.0","0.0","0.0","22.9","290.3","2.0","0.1","63.6"
"Keaton Mitchell","BAL","RB67","66.0","322.3","1.7","9.1","85.5","0.5","0.0","63.0"
"Devaughn Vele","NO","WR110","0.0","1.7","0.0","25.1","268.2","1.9","0.1","62.9"
"Michael Mayer","LV","TE41","0.0","0.0","0.0","27.3","253.0","1.6","0.1","61.9"
"Samaje Perine","CIN","RB68","41.2","165.5","1.3","17.5","152.9","0.9","0.4","61.7"
"Parker Washington","JAC","WR111","0.0","8.5","0.0","24.7","261.6","1.6","0.1","61.0"
"Harold Fannin Jr.","CLE","TE42","0.0","0.0","0.0","26.5","260.8","1.5","0.4","60.7"
"Ollie Gordon II","MIA","RB69","72.2","297.8","2.5","8.6","66.8","0.4","1.1","60.0"
"JuJu Smith-Schuster","KC","WR112","0.0","0.0","0.0","23.1","255.6","1.8","0.1","59.1"
"Jaylin Noel","HOU","WR113","0.0","13.0","0.0","21.1","249.2","1.9","0.0","58.7"
"Oronde Gadsden II","LAC","TE43","0.0","0.0","0.0","23.6","239.3","1.8","0.1","58.5"
"Foster Moreau","NO","TE44","0.0","0.0","0.0","22.3","251.2","1.8","0.1","58.3"
"Antonio Gibson","NE","RB70","51.4","210.1","1.0","15.7","127.7","0.5","0.0","58.3"
"Tim Patrick","DET","WR114","0.0","0.0","0.0","20.5","256.6","2.0","0.1","57.8"
"Robbie Ouzts","SEA","TE45","0.0","0.0","0.0","25.0","245.9","1.5","0.5","57.8"
"Kyle Monangai","CHI","RB71","52.1","283.3","2.5","8.1","56.9","0.2","0.1","57.6"
"Dawson Knox","BUF","TE46","0.0","0.0","0.0","21.9","238.7","1.9","0.0","57.2"
"Terrance Ferguson","LAR","TE47","0.0","0.0","0.0","23.0","235.2","1.9","0.4","57.0"
"Chris Rodriguez Jr.","WAS","RB72","68.7","312.8","2.9","4.4","33.5","0.1","0.4","55.9"
"Tai Felton","MIN","WR115","0.0","3.7","0.0","20.1","241.8","1.9","0.0","55.8"
"Tyler Johnson","NYJ","WR116","0.0","0.0","0.0","22.0","233.7","1.7","0.0","55.7"
"Isaac Guerendo","SF","RB73","55.8","270.3","2.2","8.0","71.8","0.1","0.4","55.1"
"Jalen McMillan","TB","WR117","1.4","11.0","0.0","18.1","227.2","2.3","0.4","55.0"
"Chimere Dike","TEN","WR118","2.1","8.9","0.0","18.9","245.9","1.6","0.1","54.0"
"Tahj Brooks","CIN","RB74","48.8","233.9","1.9","10.0","78.5","0.5","0.7","53.7"
"KaVontae Turpin","DAL","WR119","8.4","58.5","0.5","17.0","206.0","1.4","0.7","53.5"
"Jaleel McLaughlin","DEN","RB75","30.5","142.6","0.8","18.2","110.4","0.9","0.5","52.5"
"Kenneth Gainwell","PIT","RB76","58.5","210.6","1.4","12.5","88.5","0.4","0.4","52.3"
"Jarquez Hunter","LAR","RB77","57.1","244.7","1.9","8.5","68.7","0.4","0.7","52.3"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","19.4","203.0","1.6","0.1","49.4"
"Elijah Mitchell","KC","RB78","60.5","228.8","1.8","8.2","47.6","0.4","0.1","49.2"
"Trevor Etienne","CAR","RB79","47.8","191.3","1.5","10.7","86.5","0.4","0.4","49.0"
"Devin Singletary","NYG","RB80","52.1","236.2","1.5","9.4","63.5","0.1","0.4","48.6"
"Jermaine Burton","CIN","WR120","0.0","2.0","0.0","15.8","205.9","2.0","0.1","48.2"
"Luke McCaffrey","WAS","WR121","0.0","1.0","0.0","19.3","201.5","1.5","0.1","48.1"
"Demarcus Robinson","SF","WR122","0.0","0.8","0.0","13.9","217.8","1.9","0.0","47.3"
"Tommy Tremble","CAR","TE49","0.0","0.0","0.0","19.2","184.1","1.7","0.4","47.0"
"Ben Sinnott","WAS","TE50","0.0","0.0","0.0","18.8","186.0","1.5","0.1","46.5"
"Gunnar Helm","TEN","TE51","0.0","0.0","0.0","20.2","200.8","1.1","0.4","46.3"
"Luke Musgrave","GB","TE52","0.0","0.0","0.0","19.1","186.4","1.4","0.0","46.2"
"Will Shipley","PHI","RB81","37.4","199.5","1.3","8.3","61.8","0.4","0.1","44.6"
"Khalil Herbert","IND","RB82","60.4","215.4","1.6","7.7","43.8","0.2","0.0","44.2"
"Devin Neal","NO","RB83","38.8","203.8","1.3","7.3","54.2","0.4","0.1","43.2"
"Kendrick Bourne","NE","WR123","1.1","6.8","0.0","16.9","195.1","1.0","0.0","43.1"
"Zay Jones","ARI","WR124","0.0","2.0","0.0","16.8","179.9","1.3","0.1","42.5"
"Robert Woods","PIT","WR125","0.0","0.0","0.0","17.4","180.7","1.2","0.1","42.3"
"Zamir White","LV","RB84","56.2","190.4","1.1","8.7","61.4","0.3","0.0","42.2"
"Skyy Moore","SF","WR126","0.0","0.0","0.0","15.4","184.9","1.4","0.0","42.1"
"Brock Wright","DET","TE53","0.0","0.0","0.0","15.0","134.8","2.2","0.0","41.4"
"Sean Tucker","TB","RB85","44.8","231.3","1.4","5.2","40.2","0.3","0.7","41.3"
"A.T. Perry","DEN","WR127","0.0","0.0","0.0","13.7","180.5","1.5","0.0","40.6"
"Cade Stover","HOU","TE54","0.0","0.0","0.0","16.9","160.6","1.2","0.0","40.2"
"Jahan Dotson","PHI","WR128","0.0","1.7","0.0","14.6","176.4","1.3","0.0","40.1"
"Jeremy Ruckert","NYJ","TE55","0.0","0.0","0.0","17.7","153.3","1.2","0.0","40.0"
"Kalif Raymond","DET","WR129","0.0","4.0","0.0","14.7","184.3","1.2","0.6","39.4"
